"Month","Monthly sales of new one-family houses sold in th e USA since 1973"
"1973-01",55
"1973-02",60
"1973-03",68
"1973-04",63
"1973-05",65
"1973-06",61
"1973-07",54
"1973-08",52
"1973-09",46
"1973-10",42
"1973-11",37
"1973-12",30
"1974-01",37
"1974-02",44
"1974-03",55
"1974-04",53
"1974-05",58
"1974-06",50
"1974-07",48
"1974-08",45
"1974-09",41
"1974-10",34
"1974-11",30
"1974-12",24
"1975-01",29
"1975-02",34
"1975-03",44
"1975-04",54
"1975-05",57
"1975-06",51
"1975-07",51
"1975-08",53
"1975-09",46
"1975-10",46
"1975-11",46
"1975-12",39
"1976-01",41
"1976-02",53
"1976-03",55
"1976-04",62
"1976-05",55
"1976-06",56
"1976-07",57
"1976-08",59
"1976-09",58
"1976-10",55
"1976-11",49
"1976-12",47
"1977-01",57
"1977-02",68
"1977-03",84
"1977-04",81
"1977-05",78
"1977-06",74
"1977-07",64
"1977-08",74
"1977-09",71
"1977-10",63
"1977-11",55
"1977-12",51
"1978-01",57
"1978-02",63
"1978-03",75
"1978-04",85
"1978-05",80
"1978-06",77
"1978-07",68
"1978-08",72
"1978-09",68
"1978-10",70
"1978-11",53
"1978-12",50
"1979-01",53
"1979-02",58
"1979-03",73
"1979-04",72
"1979-05",68
"1979-06",63
"1979-07",64
"1979-08",68
"1979-09",60
"1979-10",54
"1979-11",41
"1979-12",35
"1980-01",43
"1980-02",44
"1980-03",44
"1980-04",36
"1980-05",44
"1980-06",50
"1980-07",55
"1980-08",61
"1980-09",50
"1980-10",46
"1980-11",39
"1980-12",33
"1981-01",37
"1981-02",40
"1981-03",49
"1981-04",44
"1981-05",45
"1981-06",38
"1981-07",36
"1981-08",34
"1981-09",28
"1981-10",29
"1981-11",27
"1981-12",29
"1982-01",28
"1982-02",29
"1982-03",36
"1982-04",32
"1982-05",36
"1982-06",34
"1982-07",31
"1982-08",36
"1982-09",39
"1982-10",40
"1982-11",39
"1982-12",33
"1983-01",44
"1983-02",46
"1983-03",57
"1983-04",59
"1983-05",64
"1983-06",59
"1983-07",51
"1983-08",50
"1983-09",48
"1983-10",51
"1983-11",45
"1983-12",48
"1984-01",52
"1984-02",58
"1984-03",63
"1984-04",61
"1984-05",59
"1984-06",58
"1984-07",52
"1984-08",48
"1984-09",53
"1984-10",55
"1984-11",42
"1984-12",38
"1985-01",48
"1985-02",55
"1985-03",67
"1985-04",60
"1985-05",65
"1985-06",65
"1985-07",63
"1985-08",61
"1985-09",54
"1985-10",52
"1985-11",51
"1985-12",47
"1986-01",55
"1986-02",59
"1986-03",89
"1986-04",84
"1986-05",75
"1986-06",66
"1986-07",57
"1986-08",52
"1986-09",60
"1986-10",54
"1986-11",48
"1986-12",49
"1987-01",53
"1987-02",59
"1987-03",73
"1987-04",72
"1987-05",62
"1987-06",58
"1987-07",55
"1987-08",56
"1987-09",52
"1987-10",52
"1987-11",43
"1987-12",37
"1988-01",43
"1988-02",55
"1988-03",68
"1988-04",68
"1988-05",64
"1988-06",65
"1988-07",57
"1988-08",59
"1988-09",54
"1988-10",57
"1988-11",43
"1988-12",42
"1989-01",52
"1989-02",51
"1989-03",58
"1989-04",60
"1989-05",61
"1989-06",58
"1989-07",62
"1989-08",61
"1989-09",49
"1989-10",51
"1989-11",47
"1989-12",40
"1990-01",45
"1990-02",50
"1990-03",58
"1990-04",52
"1990-05",50
"1990-06",50
"1990-07",46
"1990-08",46
"1990-09",38
"1990-10",37
"1990-11",34
"1990-12",29
"1991-01",30
"1991-02",40
"1991-03",46
"1991-04",46
"1991-05",47
"1991-06",47
"1991-07",43
"1991-08",46
"1991-09",37
"1991-10",41
"1991-11",39
"1991-12",36
"1992-01",48
"1992-02",55
"1992-03",56
"1992-04",53
"1992-05",52
"1992-06",53
"1992-07",52
"1992-08",56
"1992-09",51
"1992-10",48
"1992-11",42
"1992-12",42
"1993-01",44
"1993-02",50
"1993-03",60
"1993-04",66
"1993-05",58
"1993-06",59
"1993-07",55
"1993-08",57
"1993-09",57
"1993-10",56
"1993-11",53
"1993-12",51
"1994-01",45
"1994-02",58
"1994-03",74
"1994-04",65
"1994-05",65
"1994-06",55
"1994-07",52
"1994-08",59
"1994-09",54
"1994-10",57
"1994-11",45
"1994-12",40
"1995-01",47
"1995-02",47
"1995-03",60
"1995-04",58
"1995-05",63
"1995-06",64
"1995-07",64
"1995-08",63
"1995-09",55
"1995-10",54
"1995-11",44

Monthly sales of new one-family houses sold in th e USA since 1973

